run_accession sra_ftp
ERR1041704 E5.14.1791.fastq
ERR1041705 E5.14.1792.fastq
ERR1041706 E5.14.1793.fastq
ERR1041707 E5.14.1794.fastq
ERR1041708 E5.14.1795.fastq
ERR1041709 E5.14.1797.fastq
ERR1041710 E5.14.1798.fastq
ERR1041711 E5.14.1802.fastq
ERR1041712 E5.14.1806.fastq
ERR1041713 E5.14.1807.fastq
ERR1041714 E5.14.1808.fastq
ERR1041715 E5.14.1811.fastq
ERR1041716 E5.14.1812.fastq
ERR1041717 E5.14.1813.fastq
ERR1041718 E5.14.1916.fastq
ERR1041719 E5.14.1917.fastq
ERR1041720 E5.14.1918.fastq
ERR1041721 E5.14.1919.fastq
ERR1041722 E5.14.1923.fastq
ERR1041723 E5.14.1924.fastq
ERR1041724 E5.14.1925.fastq
ERR1041725 E5.15.1820.fastq
ERR1041726 E5.15.1821.fastq
ERR1041727 E5.15.1822.fastq
ERR1041728 E5.15.1823.fastq
ERR1041729 E5.15.1824.fastq
ERR1041730 E5.15.1825.fastq
ERR1041731 E5.15.1826.fastq
ERR1041732 E5.15.1827.fastq
ERR1041733 E5.15.1828.fastq
ERR1041734 E5.15.1829.fastq
ERR1041735 E5.15.1830.fastq
ERR1041736 E5.15.1831.fastq
ERR1041737 E5.15.1834.fastq
ERR1041738 E5.15.1835.fastq
ERR1041739 E5.15.1836.fastq
ERR1041740 E5.15.1837.fastq
ERR1041741 E5.15.1838.fastq
ERR1041742 E5.15.1839.fastq
ERR1041743 E5.15.1840.fastq
ERR1041744 E5.15.1841.fastq
ERR1041745 E5.15.1842.fastq
ERR1041746 E5.15.1843.fastq
ERR1041747 E5.15.1844.fastq
ERR1041748 E5.15.1845.fastq
ERR1041749 E5.16.1885.fastq
ERR1041750 E5.16.1886.fastq
ERR1041751 E5.16.1887.fastq
ERR1041752 E5.16.1888.fastq
ERR1041753 E5.16.1889.fastq
ERR1041754 E5.16.1890.fastq
ERR1041755 E5.16.1891.fastq
ERR1041756 E5.16.1893.fastq
ERR1041757 E5.16.1894.fastq
ERR1041758 E5.16.1895.fastq
ERR1041759 E5.16.1896.fastq
ERR1041760 E5.16.1897.fastq
ERR1041761 E5.16.1898.fastq
ERR1041762 E5.16.1899.fastq
ERR1041763 E5.16.1900.fastq
ERR1041764 E5.16.1901.fastq
ERR1041765 E5.16.1903.fastq
ERR1041766 E5.16.1904.fastq
ERR1041767 E5.16.1905.fastq
ERR1041768 E5.16.1906.fastq
ERR1041769 E5.16.1907.fastq
ERR1041770 E5.16.1908.fastq
ERR1041771 E5.16.1909.fastq
ERR1041772 E5.16.1910.fastq
ERR1041773 E5.16.1911.fastq
ERR1041774 E5.16.1912.fastq
ERR1041775 E5.16.1913.fastq
ERR1041776 E5.16.1914.fastq
ERR1041777 E5.16.1915.fastq
ERR1041778 E5.2.38.fastq
ERR1041779 E5.2.40.fastq
ERR1041780 E5.2.41.fastq
ERR1041781 E5.2.42.fastq
ERR1041782 E5.2.43.fastq
ERR1041783 E5.2.45.fastq
ERR1041784 E5.2.46.fastq
ERR1041785 E5.2.47.fastq
ERR1041786 E5.2.48.fastq
ERR1041787 E5.3.49.fastq
ERR1041788 E5.3.50.fastq
ERR1041789 E5.3.51.fastq
ERR1041790 E5.3.52.fastq
ERR1041791 E5.3.54.fastq
ERR1041792 E5.3.55.fastq
ERR1041793 E5.3.56.fastq
ERR1041794 E5.3.57.fastq
ERR1041795 E5.3.58.fastq
ERR1041796 E5.3.59.fastq
ERR1041797 E5.3.60.fastq
ERR1041798 E5.3.61.fastq
ERR1041799 E5.37.3231.fastq
ERR1041800 E5.37.3232.fastq
ERR1041801 E5.37.3234.fastq
ERR1041802 E5.37.3235.fastq
ERR1041803 E5.37.3237.fastq
ERR1041804 E5.37.3239.fastq
ERR1041805 E5.37.3240.fastq
ERR1041806 E5.37.3242.fastq
ERR1041807 E5.37.3243.fastq
ERR1041808 E5.37.3245.fastq
ERR1041809 E5.37.3246.fastq
ERR1041810 E5.37.3247.fastq
ERR1041811 E5.37.3253.fastq
ERR1041812 E5.38.3255.fastq
ERR1041813 E5.38.3256.fastq
ERR1041814 E5.39.3262.fastq
ERR1041815 E5.39.3263.fastq
ERR1041816 E5.39.3264.fastq
ERR1041817 E5.39.3266.fastq
ERR1041818 E5.39.3267.fastq
ERR1041819 E5.39.3269.fastq
ERR1041820 E5.39.3274.fastq
ERR1041821 E5.40.3278.fastq
ERR1041822 E5.40.3279.fastq
ERR1041823 E5.40.3280.fastq
ERR1041824 E5.40.3281.fastq
ERR1041825 E5.40.3282.fastq
ERR1041826 E5.40.3283.fastq
ERR1041827 E5.40.3284.fastq
ERR1041828 E5.40.3285.fastq
ERR1041829 E5.40.3286.fastq
ERR1041830 E5.40.3287.fastq
ERR1041831 E5.40.3288.fastq
ERR1041832 E5.40.3289.fastq
ERR1041833 E5.40.3290.fastq
ERR1041834 E5.40.3291.fastq
ERR1041835 E5.40.3292.fastq
ERR1041836 E5.40.3293.fastq
ERR1041837 E5.40.3294.fastq
ERR1041838 E5.40.3296.fastq
ERR1041839 E5.40.3297.fastq
ERR1041840 E5.40.3298.fastq
ERR1041841 E5.40.3299.fastq
ERR1041842 E5.40.3300.fastq
ERR1041843 E5.40.3301.fastq
ERR1041844 E5.40.3302.fastq
ERR1041845 E5.40.3303.fastq
ERR1041846 E5.40.3304.fastq
ERR1041847 E5.41.3305.fastq
ERR1041848 E5.41.3306.fastq
ERR1041849 E5.41.3307.fastq
ERR1041850 E5.41.3308.fastq
ERR1041851 E5.41.3309.fastq
ERR1041852 E5.41.3310.fastq
ERR1041853 E5.41.3313.fastq
ERR1041854 E5.41.3315.fastq
ERR1041855 E5.41.3316.fastq
ERR1041856 E5.41.3317.fastq
ERR1041857 E5.41.3318.fastq
ERR1041858 E5.41.3321.fastq
ERR1041859 E5.41.3322.fastq
ERR1041860 E5.41.3323.fastq
ERR1041861 E5.41.3324.fastq
ERR1041862 E5.41.3325.fastq
ERR1041863 E5.41.3326.fastq
ERR1041864 E5.41.3327.fastq
ERR1041865 E5.41.3328.fastq
ERR1041866 E5.42.3329.fastq
ERR1041867 E5.42.3330.fastq
ERR1041868 E5.42.3331.fastq
ERR1041869 E5.42.3332.fastq
ERR1041870 E5.42.3333.fastq
ERR1041871 E5.42.3334.fastq
ERR1041872 E5.42.3335.fastq
ERR1041873 E5.42.3336.fastq
ERR1041874 E5.42.3337.fastq
ERR1041875 E5.42.3340.fastq
ERR1041876 E5.43.3343.fastq
ERR1041877 E5.43.3347.fastq
ERR1041878 E5.43.3348.fastq
ERR1041879 E5.43.3349.fastq
ERR1041880 E5.43.3350.fastq
ERR1041881 E5.43.3352.fastq
ERR1041882 E5.43.3353.fastq
ERR1041883 E5.43.3354.fastq
ERR1041884 E5.43.3355.fastq
ERR1041885 E5.43.3356.fastq
ERR1041886 E5.43.3357.fastq
ERR1041887 E5.43.3358.fastq
ERR1041888 E5.43.3359.fastq
ERR1041889 E5.43.3360.fastq
ERR1041890 E5.43.3361.fastq
ERR1041891 E5.43.3362.fastq
ERR1041892 E5.43.3363.fastq
