re	sgRNA	Negative|beta	Negative|z	Negative|p-value	Negative|fdr	Negative|wald-p-value	Negative|wald-fdr	Low|beta	Low|z	Low|p-value	Low|fdr	Low|wald-p-value	Low|wald-fdr	Medium|beta	Medium|z	Medium|p-value	Medium|fdr	Medium|wald-p-value	Medium|wald-fdr	High|beta	High|z	High|p-value	High|fdr	High|wald-p-value	High|wald-fdr
RE89	28	0.020615	0.62476	0.57914	0.77523	0.53213	0.92585	0.02576	0.7801	0.34173	0.72388	0.43533	0.99032	-0.0090497	-0.2744	0.31295	0.57143	0.78378	0.994	-0.025493	-0.7729	0.1259	0.25735	0.43958	0.98292
RE67	44	0.016088	0.51328	0.66187	0.80702	0.60776	0.92585	0.015566	0.4964	0.51079	0.80682	0.61961	0.99032	-0.0078458	-0.25039	0.29856	0.56081	0.80229	0.994	0.0011997	0.038287	0.94245	0.94928	0.96946	0.98361
RE46	63	-0.1986	-5.7932	0	0	6.9056e-09	9.5987e-08	0.013673	0.399	0.56835	0.83158	0.68989	0.99032	0.11753	3.435	0	0	0.00059249	0.0082356	0.20856	6.097	0	0	1.0807e-09	2.146e-08
RE90	99	0.011542	0.53895	0.88489	0.94697	0.58992	0.92585	0.010116	0.47187	0.7518	0.95	0.63702	0.99032	-0.012045	-0.5628	0.16187	0.375	0.57357	0.994	-0.027409	-1.2805	0.14029	0.27083	0.20036	0.75271
RE31	72	0.026697	1.0174	0.22302	0.44286	0.30895	0.88512	-0.0081947	-0.31204	0.23381	0.67708	0.75501	0.99032	-0.021875	-0.83394	0.07554	0.24419	0.40431	0.994	-0.046003	-1.7536	0.02518	0.077778	0.079503	0.36836
RE123	124	0.083951	4.23	0	0	2.3373e-05	0.00023206	-0.010543	-0.53059	0.079137	0.37931	0.5957	0.99032	-0.046663	-2.3511	0	0	0.018716	0.21679	-0.068167	-3.4342	0	0	0.00059431	0.0051631
RE7	63	0.0079792	0.30534	0.82374	0.92339	0.76011	0.93353	0.0045027	0.17217	0.85612	0.97761	0.86331	0.99032	0.017443	0.66791	0.24101	0.49265	0.50419	0.994	0.01308	0.5008	0.26619	0.43529	0.61651	0.98292
RE22	228	0.044852	3.1344	0	0	0.001722	0.011398	-0.0086434	-0.60345	0.043165	0.27273	0.54621	0.99032	-0.013383	-0.93557	0.010791	0.05	0.3495	0.994	-0.035244	-2.4634	0	0	0.013762	0.086949
RE130	88	-0.01864	-0.85856	0.021583	0.081081	0.39058	0.9045	0.0087873	0.40456	0.86691	0.97761	0.6858	0.99032	0.0062805	0.28944	0.96043	0.98551	0.77224	0.994	0.037679	1.7366	0.0071942	0.028571	0.082459	0.36974
RE39	31	0.0067011	0.15403	0.89928	0.94697	0.87758	0.96078	0.039589	0.90955	0.053957	0.3125	0.36306	0.99032	0.014891	0.34246	0.51079	0.76064	0.732	0.994	-0.018887	-0.4343	0.26619	0.43529	0.66407	0.98292
RE120	98	0.020012	0.83548	0.39568	0.61798	0.40345	0.9045	0.0011084	0.046237	0.60432	0.86224	0.96312	0.99032	-0.027734	-1.1583	0.086331	0.26087	0.24674	0.994	-0.023793	-0.99369	0.1259	0.25735	0.32037	0.94315
RE97	65	0.08705	3.1862	0	0	0.0014416	0.010019	0.012035	0.44004	0.69424	0.90654	0.65991	0.99032	-0.039296	-1.4383	0	0	0.15035	0.94991	-0.13438	-4.916	0	0	8.8313e-07	1.116e-05
RE113	68	0.012495	0.47665	0.86691	0.94141	0.63361	0.92585	-0.001465	-0.055837	0.44964	0.78125	0.95547	0.99032	0.00698	0.2664	0.93165	0.96642	0.78993	0.994	0.0010421	0.039771	0.8777	0.92279	0.96828	0.98361
RE36	53	0.017844	0.60659	0.60432	0.77523	0.54412	0.92585	0.00023383	0.0079414	0.56115	0.83158	0.99366	0.99366	-0.01337	-0.45475	0.068345	0.23171	0.64929	0.994	-0.0063943	-0.21748	0.58273	0.7087	0.82783	0.98361
RE72	39	0.011135	0.27302	0.96043	0.96739	0.78484	0.93353	0.0094677	0.23197	0.88129	0.97761	0.81656	0.99032	0.0058916	0.14454	0.97482	0.98551	0.88507	0.994	-0.0021869	-0.053647	0.89209	0.92279	0.95722	0.98361
RE62	23	0.028273	0.64272	0.40647	0.62088	0.52041	0.92585	0.041811	0.94986	0.10432	0.42647	0.34218	0.99032	0.015519	0.35296	0.57914	0.79703	0.72412	0.994	0.052325	1.1902	0.043165	0.11538	0.23396	0.79317
RE37	18	-0.020966	-0.33277	0.20504	0.43284	0.73931	0.93353	0.077448	1.2289	0.0035971	0.038462	0.2191	0.99032	0.058257	0.92575	0.0071942	0.038462	0.35458	0.994	0.044422	0.70582	0.064748	0.16071	0.4803	0.98292
RE57	167	0.77798	12.661	0	0	9.7799e-37	1.3594e-34	-0.46974	-7.5704	0	0	3.7212e-14	5.1724e-12	-0.55208	-8.9161	0	0	4.8288e-19	6.7121e-17	-0.59815	-9.6546	0	0	4.6983e-22	2.1769e-20
RE71	54	0.079947	2.7486	0	0	0.0059856	0.036174	0.0063157	0.21675	0.93525	0.97761	0.8284	0.99032	-0.031205	-1.073	0	0	0.28328	0.994	-0.067827	-2.3314	0	0	0.01973	0.11427
RE103	33	-0.0026401	-0.071765	0.47482	0.69271	0.94279	0.96359	0.010659	0.28946	0.82374	0.97761	0.77223	0.99032	-0.0091034	-0.24766	0.31295	0.57143	0.80439	0.994	0.034111	0.92823	0.068345	0.16667	0.35329	0.969
RE81	55	0.025701	0.92684	0.23381	0.45139	0.35401	0.9045	0.017336	0.62456	0.5036	0.8046	0.53226	0.99032	0.013843	0.49957	0.48561	0.74725	0.61738	0.994	-0.01319	-0.47591	0.26259	0.43529	0.63414	0.98292
RE138	64	0.0055552	0.22629	0.66906	0.8087	0.82098	0.94311	0.0052406	0.21336	0.88129	0.97761	0.83104	0.99032	0.0023039	0.093885	0.76259	0.86885	0.9252	0.994	-0.01152	-0.46941	0.32734	0.49457	0.63878	0.98292
RE111	168	0.025533	1.483	0.010791	0.046875	0.13806	0.58153	0.016589	0.96265	0.089928	0.39062	0.33573	0.99032	-0.010657	-0.61932	0.0035971	0.02	0.53571	0.994	-0.002428	-0.1411	0.67626	0.78992	0.88779	0.98361
RE35	41	0.018004	0.58534	0.6259	0.79091	0.55832	0.92585	0.028335	0.9206	0.15468	0.52439	0.35726	0.99032	-0.013976	-0.4546	0.14029	0.35455	0.6494	0.994	-0.034653	-1.127	0.043165	0.11538	0.25975	0.83964
RE129	45	-0.042515	-1.3988	0	0	0.16189	0.60817	-0.0009121	-0.029994	0.56115	0.83158	0.97607	0.99032	0.027779	0.91465	0.07554	0.24419	0.36037	0.994	0.051246	1.6874	0.0035971	0.015625	0.091523	0.39755
RE12	20	-0.1231	-2.7259	0	0	0.0064121	0.037137	0.013597	0.30107	0.67986	0.90654	0.76336	0.99032	0.074397	1.6497	0	0	0.098996	0.72423	0.13857	3.0733	0	0	0.0021168	0.017308
RE73	33	0.023145	0.58487	0.47842	0.69271	0.55864	0.92585	0.033472	0.84512	0.11511	0.45714	0.39804	0.99032	0.013779	0.34842	0.58993	0.79808	0.72753	0.994	0.010378	0.2624	0.56835	0.7087	0.79301	0.98292
RE5	15	0.020616	0.47373	0.69424	0.82479	0.63569	0.92585	-0.01998	-0.45873	0.28058	0.7193	0.64643	0.99032	-0.023743	-0.54578	0.15827	0.375	0.58522	0.994	-0.015721	-0.36137	0.51799	0.66667	0.71783	0.98292
RE134	45	0.022343	0.65729	0.44245	0.66667	0.51099	0.92585	0.026347	0.77449	0.16906	0.55952	0.43864	0.99032	-0.01442	-0.4244	0.10791	0.30612	0.67128	0.994	-0.021701	-0.63866	0.11871	0.25735	0.52305	0.98292
RE88	73	0.068947	2.5208	0.017986	0.069444	0.011707	0.062589	0.0004425	0.016159	0.60791	0.86224	0.98711	0.99366	-0.030374	-1.1107	0.053957	0.19737	0.26669	0.994	-0.049488	-1.8094	0.039568	0.11	0.070391	0.34944
RE43	70	0.022643	0.85719	0.35252	0.59756	0.39134	0.9045	0.035628	1.3477	0.032374	0.225	0.17775	0.99032	0.007868	0.29805	0.83094	0.91339	0.76567	0.994	-0.008581	-0.32502	0.43165	0.60784	0.74517	0.98292
RE34	12	0.00011068	0.0019663	0.71942	0.84034	0.99843	0.99843	0.0029378	0.052164	0.88489	0.97761	0.9584	0.99032	0.023686	0.42101	0.48921	0.74725	0.67375	0.994	0.0030512	0.054228	0.89209	0.92279	0.95675	0.98361
RE18	67	-0.0097292	-0.43756	0.11871	0.29464	0.66171	0.92585	0.0036663	0.16479	0.7446	0.94954	0.86911	0.99032	0.0029177	0.13129	0.78058	0.875	0.89555	0.994	-0.0066514	-0.29928	0.57194	0.7087	0.76473	0.98292
RE135	38	0.024823	0.72777	0.33453	0.57407	0.46676	0.91638	0.017727	0.51928	0.47842	0.8046	0.60357	0.99032	-0.012095	-0.35478	0.16187	0.375	0.72275	0.994	-0.039363	-1.1544	0.010791	0.039474	0.24833	0.82187
RE133	35	0.022588	0.6553	0.46403	0.68617	0.51227	0.92585	0.0047441	0.13758	0.89209	0.97761	0.89057	0.99032	-0.0068122	-0.19766	0.3705	0.6131	0.84331	0.994	-0.019281	-0.55941	0.22302	0.37805	0.57588	0.98292
RE58	55	0.95275	6.9588	0	0	3.4328e-12	9.5432e-11	-0.64027	-4.61	0	0	4.0274e-06	0.0001866	-0.65865	-4.7603	0	0	1.9327e-06	6.716e-05	-0.71624	-5.1719	0	0	2.3169e-07	3.2205e-06
RE110	84	0.01906	0.76474	0.38849	0.61798	0.44443	0.91441	0.018708	0.74988	0.26978	0.7193	0.45333	0.99032	-0.0028885	-0.11597	0.32734	0.57595	0.90767	0.994	-0.01635	-0.65636	0.10791	0.2459	0.5116	0.98292
RE63	38	0.0022676	0.073998	0.60072	0.77523	0.94101	0.96359	0.0073249	0.23897	0.95683	0.98162	0.81113	0.99032	-0.0031981	-0.10438	0.51439	0.76064	0.91687	0.994	-0.02088	-0.68145	0.13309	0.26429	0.49559	0.98292
RE74	43	0.012535	0.44598	0.84532	0.93254	0.65561	0.92585	0.029429	1.0463	0.057554	0.32	0.29541	0.99032	0.01814	0.64579	0.29496	0.56081	0.51842	0.994	0.0041565	0.14796	0.74101	0.81746	0.88238	0.98361
RE14	8	0.01156	0.11431	0.95324	0.96715	0.90899	0.96359	0.022985	0.22697	0.63669	0.885	0.82044	0.99032	0.035225	0.34883	0.36691	0.6131	0.72722	0.994	0.0066705	0.066037	0.77698	0.83721	0.94735	0.98361
RE50	71	-0.23552	-6.4129	0	0	1.4281e-10	2.8358e-09	0.024365	0.66393	0.15468	0.52439	0.50673	0.99032	0.13471	3.6781	0	0	0.00023494	0.0048231	0.22197	6.0627	0	0	1.3389e-09	2.3264e-08
RE6	10	-0.010321	-0.20636	0.55396	0.77	0.83651	0.95307	0.034717	0.69402	0.32374	0.72388	0.48767	0.99032	-0.005234	-0.10466	0.66906	0.82301	0.91664	0.994	0.019203	0.38399	0.47482	0.62264	0.70099	0.98292
RE100	19	0.050171	0.75506	0.082734	0.23469	0.45021	0.91441	0.030844	0.46357	0.28058	0.7193	0.64295	0.99032	-0.025894	-0.38986	0.10072	0.29167	0.69664	0.994	-0.055088	-0.82919	0.014388	0.05	0.407	0.98292
RE112	160	0.010806	0.62816	0.94245	0.96324	0.5299	0.92585	-0.0064395	-0.37401	0.014388	0.10526	0.7084	0.99032	0.0030927	0.17988	0.57914	0.79703	0.85725	0.994	0.01014	0.58975	0.079137	0.18644	0.55536	0.98292
RE101	26	0.020904	0.50136	0.60791	0.77523	0.61612	0.92585	-0.0045654	-0.10942	0.51799	0.80899	0.91287	0.99032	-0.0049437	-0.11862	0.53597	0.78125	0.90558	0.994	-0.027152	-0.65142	0.15108	0.28378	0.51477	0.98292
RE95	11	0.14154	2.6367	0.0035971	0.016667	0.0083707	0.046541	0.050766	0.945	0.15108	0.52439	0.34466	0.99032	-0.0063246	-0.11781	0.64029	0.82273	0.90622	0.994	-0.13366	-2.4886	0	0	0.012823	0.084876
RE99	43	0.037243	1.3284	0.068345	0.19792	0.18406	0.62618	0.041471	1.4782	0.010791	0.09375	0.13935	0.99032	-0.0057671	-0.20577	0.35252	0.60494	0.83697	0.994	0.011883	0.42401	0.3705	0.55319	0.67156	0.98292
RE77	37	-0.030521	-0.80721	0.046763	0.1413	0.41955	0.90676	-0.0091432	-0.24163	0.33094	0.72388	0.80907	0.99032	-0.016855	-0.44616	0.11871	0.32692	0.65548	0.994	-0.026485	-0.70098	0.093525	0.21667	0.48331	0.98292
RE42	55	-0.0033269	-0.1156	0.28058	0.51299	0.90797	0.96359	0.0076619	0.26608	0.92086	0.97761	0.79018	0.99032	-0.00014655	-0.0050944	0.64748	0.82273	0.99594	0.99937	-0.0066998	-0.23289	0.58633	0.7087	0.81584	0.98361
RE136	32	0.0087438	0.26307	0.93525	0.96296	0.7925	0.93353	0.0046735	0.1405	0.88849	0.97761	0.88826	0.99032	0.0071838	0.21626	0.90647	0.95455	0.82879	0.994	0.0055498	0.16706	0.73741	0.81746	0.86732	0.98361
RE70	46	0.046627	1.5164	0.010791	0.046875	0.12941	0.58153	0.017791	0.57801	0.43525	0.78125	0.56326	0.99032	0.011831	0.38498	0.63309	0.82273	0.70025	0.994	-0.0015861	-0.051605	0.92086	0.93431	0.95884	0.98361
RE128	62	-0.015851	-0.59521	0.028777	0.1	0.55171	0.92585	0.010163	0.38137	0.82374	0.97761	0.70293	0.99032	0.011256	0.42298	0.59712	0.79808	0.67231	0.994	0.026153	0.98283	0.02518	0.077778	0.32569	0.94315
RE108	50	-0.0033227	-0.1017	0.32734	0.56875	0.919	0.96359	0.0012114	0.037048	0.65108	0.89604	0.97045	0.99032	0.016272	0.49836	0.32374	0.57595	0.61823	0.994	-0.01863	-0.57047	0.15108	0.28378	0.56836	0.98292
